Firm Name,Address,Nationality,Ineligible From, Ineligible Until,Notice Effective At EBRD,Originating Institution,Prohibited Practice
" China Gezhouba Group Co., Ltd. by Shares Nigeria Co., Ltd.","CGGC House, Plot No.464 Cadastral Zone B04 Jabi District Abuja Nigeria","Nigeria","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
" Gezhouba Dangyang  Cement Co., Ltd.","Sanqiao village Yuquan office Dangyang City People's Republic of China","People's Republic of China","2024-07-01T12:00:59Z","2025-05-31T12:00:59Z","2024-07-01T12:00:59Z","EBRD","Fraudulent Practice"
" OZALTIN ENERJI URETIM VE INSAAT A.S.","Nene Hatun Cad. No:115 Cankaya, Ankara, Turkiye","Türkiye","2024-06-07T12:00:59Z","2025-05-06T12:00:59Z","2024-06-07T12:00:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
" OZALTIN MADENCILIKTICARET VE SANAYI A.S.","Nene Hatun Cad. No:115 Cankaya, Ankara, Turkiye","Türkiye","2024-06-07T12:00:59Z","2025-05-06T12:00:59Z","2024-06-07T12:00:59Z","European Bank for Reconstruction and Development","Fraudulent Practice"
" Silva Matos Const. E Cons. E Comercio Ltda","Av. Ivar Saldanha, No. 105 Centro Santa Rita Maranhao Brazil Av. General Ribas - No. 105 - Alto de Fatima Santa Rita Maranhao Brazil","Brazil",,Ongoing,"2017-05-31T11:27:59Z","World Bank Group","Corrupt Practice"
" “Interyer Insaat” Mahdud Masuliyyatli Cəmiyyati","AZ, M. Mukhtarov Street Bld. 203 A, Apt. 11 Yasamal District Baku Republic of Azerbaijan","Azerbaijan","2024-05-31T10:57:59Z","2026-01-12T11:57:59Z","2024-05-31T10:57:59Z","World Bank Group","Fraudulent Practice"
""Supper Fortuna" LLC","70 Firdavsi St. Gulistan Town Syrdarya Region Uzbekistan","Uzbekistan",,Ongoing,"2022-09-25T07:29:59Z","World Bank Group","Fraudulent Practice"
"A Pontual - Motores E Máquinas, LTDA.","Rua Frederico Peixoto S/N, Pinheiro, Maranhão, CEP 65.200-000, Brazil","Brazil",,Ongoing,"2016-02-25T10:19:59Z","World Bank Group","Collusive Practice"
"A.G. Vision Construction Nigeria Ltd.","Plot 348 J.C. Obande Close Utako District Abuja Nigeria","Nigeria","2020-12-18T12:00:59Z","2025-03-17T12:00:59Z","2021-04-28T12:08:59Z","World Bank Group","Fraudulent Practice"
"A2Z Infra Engineering Limited (Previously known as A2Z Maintenance & Engineering Services Limited)","Plot No. B-38 Sector 32, Institutional Area Gurgaon – 122001 Haryana India","India",,Ongoing,"2024-12-06T02:50:59Z","World Bank Group","Fraudulent Practice"
"A2Z Infraservices Lanka Pvt. Ltd.","BOC Merchant Tower, Level 8 No: 28 St. Michaels Road Colombo 3 Sri Lanka","Sri Lanca",,Ongoing,"2024-12-06T09:30:59Z","World Bank Group","Fraudulent Practice"
"A2Z Infraservices Ltd.","O-116, 1st Floor, DLF Shopping Mall Arjun Marg DLF PH-I Gurugram - 122002 Haryana India","India",,Ongoing,"2024-12-06T09:33:59Z","World Bank Group","Fraudulent Practice"
"A2Z Powercom Ltd.","O-116, 1st Floor, DLF Shopping Mall Arjun Marg DLF PH-I Gurugram - 122002 Haryana India","India",,Ongoing,"2024-12-06T09:33:59Z","World Bank Group","Fraudulent Practice"
"A2Z Waste Management (Aligarh) Ltd.","Plot No. B. 38, Institutional Area Sector -32 Gurugram- 122001 Haryana India","India",,Ongoing,"2024-12-06T01:00:59Z","World Bank Group","Fraudulent Practice"
"A2Z Waste Management (Jaipur) Limited","Plot No. B-38 Institutional Area Sector 32 Gurgaon 122001 Haryana India","India",,Ongoing,"2024-12-06T11:18:59Z","World Bank Group","Fraudulent Practice"
"A2Z Waste Management (Ludhiana) Ltd.","Plot No. B. 38, Institutional Area Sector -32 Gurugram- 122001 Haryana India","India",,Ongoing,"2024-12-06T01:00:59Z","World Bank Group","Fraudulent Practice"
