"id","schema","name","aliases","birth_date","countries","addresses","identifiers","sanctions","phones","emails","dataset","first_seen","last_seen","last_change"
"NK-DgJuq8423C8oMpVUgsaxCu","LegalEntity","Jalatama Management Sdn Bhd (929594-W)","","","","","","2012-07-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"NK-DmnvMQUSj6VzB3WZKdAbrp","LegalEntity","Pruton Mega Holding Limited","","","","","","2017-02-24","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"NK-J9BgzCgc9kxhkJPEAA9AgT","LegalEntity","Cahaya Maju Investment","","","","","","2021-08-06","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"NK-NxdAgxJZhsCZ9bh2W9VFVP","LegalEntity","TP Eagle Venture Sdn Bhd (1114378-M)","","","","","","2016-07-12","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"NK-S8mMMqDLc9mdEBsctDT924","LegalEntity","Madinah Mining Investment Pte Ltd","","","","","","2022-03-10","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"NK-nTsxGKHBBCG6UihpQ2EVMs","LegalEntity","BTC Pelaburan Malaysia","","","","","","2022-03-10","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-00a1e1a8bd15a3f4812743eb889e53b7778b1bb9","LegalEntity","Al Ihsan Robo Capital","","","","","","2024-01-23","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-00a24ba70447702168a8b98242a11164baa4c998","LegalEntity","Pollywood Scheme","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-00f67df975309188b69cfaadef34215b3cb116df","LegalEntity","PTFX","","","","","","2017-08-28","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-01c3e49d25efdde0adcda6e9536aeaa84d4be4de","LegalEntity","IronFX Solid Trading","","","","","","2015-10-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
"my-ale-0208fcca20533b6099c0982ffe3b6b548d3052d5","LegalEntity","Iridian Ventures PLT (LLP0002569-LGN)","","","","","","2015-10-13","","","Malaysia Financial Consumer Alert List","2024-04-23T00:00:00","2025-01-07T20:56:03","2024-04-23T00:00:00"
