WIN_NAME,win_nationalid,win_country_code,winner_id,name,bvdidnumber
"cardinal health spain 511, s.l",B87334017,es,6,Cardinal Health Spain 511 SL.,ESB 87334017.00
	 hays ag,,de,11,Hays AG,DE7170188303
"	 prim, s.a.",A28165587,es,18,"Prim, SA",ESA 28165587.00
"	 suministros hospitalarios, s.a.",A08876310,es,19,Suministros Hospitalarios SA,ESA 8876310.00
	aesculap chifa sp. z o.o.,788  00 08 829,pl,32,Aesculap Chifa Sp. z o.o.,PL630002936
	ambiente s.p.a.,,it,45,Ambiente SPA,IT07999260586
	ambiente s.p.a.,,it,45,Ambiente S.P.A.,IT06133760634
	ambiente s.p.a.,,it,45,Ambiente S.P.A.,IT00262540453
	ambiente s.p.a.,,it,45,Ambiente S.P.A.,IT91018080688
	bialmed sp. z o.o.,849 00 00 039,pl,58,BIALMED Sp. z o.o.,PL790003564
	paul hartmann polska sp. z o.o.,731-000-49-93,pl,128,PAUL HARTMANN POLSKA Sp. z o.o.,PL471042226
	philips polska sp. z o.o.,,pl,130,PHILIPS POLSKA Sp. z o.o.,PL011097206
	prezero service centrum sp. z o.o.,775-000-05-16,pl,139,Prezero Service Centrum Sp. z o.o.,PL610281538
	tip-topol sp. z o.o.,,pl,165,Tip-Topol Sp. z o.o.,PL008491569
	trescal,,fr,167,Trescal,FR562047050
	trescal,,fr,167,Trescal INC,US252921542L
	trescal,,fr,167,Trescal,BE0414459224
	zarys international group sp. z o.o.,648-19-97-718,pl,181,Zarys International Group Sp. z o.o.,PL360127180
#arning bauunternehmung gmbh,,de,196,Arning Bauunternehmung GmbH,DE4250110226
''asclepios'' s.a.,6481008230,pl,223,Asclepios S.A.,PL272636951
''petrol'' sp. z o.o.,,pl,244,Petrol Sp. z o.o.,PL530935128
'covidien polska sp. z o.o.;,,,286,Covidien Polska Sp. z o.o.,PL010340343
'instytut pomnik - centrum zdrowia dziecka,,pl,292,Instytut Pomnik Centrum Zdrowia Dziecka,PL000557961
'instytut pomnik – centrum zdrowia dziecka,,pl,293,Instytut Pomnik Centrum Zdrowia Dziecka,PL000557961
'mercator medical s.a.,,pl,299,Mercator Medical S.A.,PL350967107
'mona-kontra sp. z o.o.,,pl,300,Mona-Kontra Sp. z o.o.,PL790746779
'nitroerg s.a.,,pl,301,Nitroerg S.A.,PL240484673
(groupe) astek,,fr,459,(Groupe) Astek,FR489800805
(mfc),,fr,528,"M&FC Co.,Ltd",KR1648110007452
* bmc,,fr,606,"BMC Co.,Ltd",KR2001110071940
* bmc,,fr,606,BMC Inc.,JP2010001084923
",,alcar sp. z o.o.",,pl,646,Alcar Sp. z o.o.,PL511417457
",,asclepios ’’s.a.",,pl,648,Asclepios S.A.,PL272636951
",,drog-bud sp. z o.o.",5732272806,pl,667,Drog-Bud Sp. z o.o.,PL150399135
",,eco-abc sp. z o.o.",1130021751,pl,669,Eco-Abc Sp. z o.o.,PL012124833
